id,Nombre,Biblioteca de figuras,ID de página,Contenido por,Grupo,Origen de línea,Destino de la línea,Flecha de origen,Flecha de destino,Área de texto 1,Área de texto 2,Área de texto 3,Área de texto 4,Área de texto 5,Área de texto 6,Área de texto 7,Área de texto 8,Área de texto 9,Área de texto 10,Área de texto 11,Área de texto 12,Área de texto 13,Área de texto 14,Área de texto 15,Área de texto 16,Área de texto 17,Área de texto 18,Área de texto 19,Área de texto 20
1,Página,,,,,,,,,EsqProvee,,,,,,,,,,,,,,,,,,,
2,Entidad,Relación entre entidades,1,,,,,,,Personas,idper,email,pass,nombre,apellido,razon,rutced,fechingr,telefono,direccion,esprov,moneda,seguridad,saldoinicial,saldototal,retorno,retactivo,observaciones,activo
3,Texto,Estándar,1,,21,,,,,EsQProvee - Esquemas Servicios.,,,,,,,,,,,,,,,,,,,
4,Texto,Estándar,1,,21,,,,,"Carlos Diego Collazo  |  October 2, 2020",,,,,,,,,,,,,,,,,,,
5,Entidad,Relación entre entidades,1,,,,,,,Documentos,idtipdoc,tipodoc,moneda,activo,,,,,,,,,,,,,,,
6,Entidad,Relación entre entidades,1,,,,,,,Monedas,idmon,moneda,divide,activo,,,,,,,,,,,,,,,
7,Entidad,Relación entre entidades,1,,,,,,,Movimientos,idmov,proveedor,tipdoc,nrofac,fechemi,fechpag,moneda,fechcheq,nrocheq,debe,haber,saldo,saldtot,nrorec,,,,,
8,Entidad,Relación entre entidades,1,,,,,,,seguridad,idseg,categoria,descripcion,activo,,,,,,,,,,,,,,,
9,Entidad,Relación entre entidades,1,,,,,,,Cheques,idcheq,nrocheq,banco,moneda,fechemi,fechpa,fechcob,,,,,,,,,,,,
10,Entidad,Relación entre entidades,1,,,,,,,Cotizacion,idcot,fechcot,moneda,impcot,activo,,,,,,,,,,,,,,
11,Línea,,1,,21,3,,None,None,,,,,,,,,,,,,,,,,,,,
12,Línea,,1,,,7,2,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
13,Línea,,1,,,7,5,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
14,Línea,,1,,,7,6,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
15,Línea,,1,,,2,8,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
16,Línea,,1,,,2,6,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
17,Línea,,1,,,5,6,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
18,Línea,,1,,,7,9,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
19,Línea,,1,,,10,6,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
20,Línea,,1,,,7,2,CFN ERD Many Arrow,Arrow,,,,,,,,,,,,,,,,,,,,
21,Grupo 1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,